Date,Day,Holiday,ADR_Model,ADR_Confirmation,ADR_True_False,ADR Mid Trans,ADR Mid Box,ADR Mid Session,ODR_Model,ODR_CONF_TIME,ODR_Confirmation,ODR_True_False,ODR Box Color,ODR MAX RET TIME,ODR Close Price,ODR Close Location,ODR Mid Trans,ODR Mid Box,ODR Mid Session,TRANS MAX RET,TRANS MAX EXT,TRANS LOW TIME,TRANS HIGH TIME,RDR_Model,RDR Box Color,RDR_Confirmation,RDR_True_False,RDR_CONF_TIME,RDR IDR MID,RDR DR MID,rdr_idr_highSD,rdr_idr_lowSD,ADR Mid RDR Trans,ADR Mid RDR Box,ADR Mid RDR Session
2024-02-09,Friday,No,UXP/UX,Short,True,broken,intact,intact,UXP,07:00,Long,True,green,08:15,-0.482,inside,broken,broken,intact,-0.941,2.329,08:30,08:30,RX,green,Long,True,10:30,0.335,-0.006,2.212,-1.541,intact,intact,intact
2024-02-08,Thursday,No,RC,Long,True,intact,broken,broken,RX,06:20,Short,True,red,07:15,1.161,below,intact,broken,broken,-0.379,1.655,08:30,09:25,RX,green,Long,True,10:45,-0.454,-0.402,-1.322,0.414,intact,broken,broken
2024-02-07,Wednesday,No,RC,Short,True,intact,intact,broken,DX,04:15,Long,True,green,05:50,4.479,above,intact,intact,intact,4.028,6.972,08:35,09:25,UXP,green,NO_CONF,NO_CONF,,7.937,7.746,11.789,4.085,intact,intact,intact
2024-02-06,Tuesday,No,RC,Long,True,intact,intact,broken,UXP,04:45,Short,True,red,06:00,0.650,below,intact,broken,intact,-0.413,0.875,08:40,09:20,DXP,red,Short,True,11:45,3.538,3.063,0.725,6.350,intact,broken,intact
2024-02-02,Friday,No,UXP/UX,Long,True,broken,broken,broken,RX,04:00,Long,True,green,05:05,-0.439,inside,broken,broken,broken,-3.541,-0.268,08:55,08:30,D,green,Long,True,10:40,-1.471,-1.975,-0.185,-2.758,broken,broken,broken
2024-02-01,Thursday,No,DXP/DX,Long,False,broken,intact,broken,UXP,07:40,Long,False,green,08:15,-0.813,inside,broken,broken,broken,-1.609,0.195,09:25,08:35,RX,green,Long,True,12:05,-0.488,-0.996,0.523,-1.500,broken,broken,broken
2024-01-31,Wednesday,No,DXP/DX,Short,True,broken,broken,broken,U,04:00,Short,True,red,08:20,0.851,below,intact,intact,broken,-0.356,3.195,09:20,08:30,DXP,red,Short,False,10:30,3.557,3.414,1.460,5.655,broken,intact,broken
2024-01-30,Tuesday,No,UXP/UX,Short,True,intact,intact,intact,DX,08:10,Short,True,green,08:25,0.147,inside,intact,intact,intact,0.023,0.638,09:15,08:30,DX,red,Short,True,12:15,0.257,0.517,-0.153,0.667,intact,intact,intact
2024-01-29,Monday,No,DXP/DX,Long,True,intact,intact,intact,UXP,04:00,Long,True,green,04:40,-0.827,inside,intact,broken,broken,-1.237,-0.731,09:15,09:25,D,green,Long,True,12:10,-0.785,-0.718,-0.237,-1.333,intact,intact,intact
2024-01-26,Friday,No,DXP/DX,Short,True,intact,intact,broken,DXP,04:25,Long,True,green,04:30,3.704,above,intact,intact,intact,1.926,5.802,09:20,08:50,UXP,green,Long,True,10:30,2.963,2.420,4.284,1.642,intact,broken,broken
2024-01-25,Thursday,No,DXP/DX,Short,True,intact,broken,broken,U,07:05,Long,True,green,07:55,0.118,inside,broken,intact,broken,-0.917,2.236,08:30,09:25,UXP,green,Long,False,11:45,1.458,1.257,2.313,0.604,broken,intact,broken
2024-01-24,Wednesday,No,UXP/UX,Long,True,intact,intact,intact,UXP,04:05,Long,True,green,07:00,2.343,above,intact,broken,broken,0.388,2.716,08:55,09:25,U,green,Long,False,10:30,1.649,1.746,3.940,-0.642,intact,intact,intact
2024-01-23,Tuesday,No,DXP/DX,Short,False,intact,broken,broken,RX,08:00,Long,True,red,08:10,0.618,above,intact,broken,broken,-0.081,1.005,09:25,08:40,D,red,Long,True,12:55,-0.626,-0.645,-0.005,-1.247,intact,broken,broken
2024-01-19,Friday,No,UXP/UX,Long,True,intact,intact,intact,UXP,04:05,Long,True,green,04:40,0.633,above,broken,broken,intact,-0.585,0.925,09:25,08:30,U,green,Long,True,11:05,-0.391,-0.286,0.190,-0.973,intact,intact,intact
2024-01-18,Thursday,No,UXP/UX,Short,False,intact,intact,intact,UXP,04:20,Long,True,green,05:10,4.125,above,intact,intact,intact,2.471,5.106,08:45,08:35,UXP,green,Long,False,10:35,3.885,4.163,4.702,3.067,intact,intact,intact
2024-01-17,Wednesday,No,RC,Short,True,intact,intact,intact,DXP,04:10,Short,False,red,07:25,-1.283,above,broken,intact,broken,-1.392,0.867,08:50,08:30,DXP,red,Long,True,15:45,3.108,2.171,2.075,4.142,intact,intact,intact
2024-01-16,Tuesday,No,DXP/DX,Short,True,intact,intact,broken,DXP,06:50,Long,True,red,08:25,1.248,above,intact,intact,intact,1.083,2.963,08:30,08:40,UXP,green,Long,True,10:40,3.211,2.931,5.486,0.936,broken,broken,broken
2024-01-12,Friday,No,RC,Long,True,broken,broken,broken,RX,05:50,Short,True,green,06:00,0.301,below,broken,broken,broken,-1.756,0.347,08:30,09:25,U,red,Short,True,10:45,-1.342,-1.345,-2.321,-0.363,broken,broken,broken
2024-01-11,Thursday,No,UXP/UX,Long,True,intact,intact,intact,UXP,04:35,Short,True,green,08:25,-0.492,inside,broken,broken,intact,-1.439,3.553,08:30,08:30,DX,red,Short,True,11:10,2.530,2.288,-0.159,5.220,broken,broken,broken
2024-01-10,Wednesday,No,UXP/UX,Short,True,broken,intact,broken,UX,04:05,Long,False,green,08:00,-1.424,below,intact,broken,broken,-3.227,-1.182,09:00,09:25,RX,green,Long,True,10:40,-1.409,-1.500,0.106,-2.924,broken,broken,intact
2024-01-09,Tuesday,No,UXP/UX,Long,False,intact,intact,intact,DXP,04:05,Short,True,red,04:50,1.708,below,intact,intact,broken,1.573,3.674,08:45,08:30,DX,green,Long,True,10:45,1.348,1.607,-0.169,2.865,intact,intact,broken
2024-01-08,Monday,No,RC,Short,True,intact,intact,broken,DXP,04:20,Short,False,red,08:25,-2.342,above,intact,intact,intact,-3.149,-1.623,08:55,09:25,UXP,green,Long,True,10:30,-5.939,-5.281,-7.632,-4.246,broken,intact,intact
2024-01-05,Friday,No,DXP/DX,Short,True,intact,intact,intact,DXP,04:40,Short,True,green,08:15,-0.037,inside,broken,intact,broken,-2.111,3.667,08:30,09:25,UXP,green,Long,False,10:30,-4.840,-4.340,-6.914,-2.765,intact,broken,broken
2024-01-04,Thursday,No,DXP/DX,Short,False,intact,broken,broken,RX,06:50,Short,True,red,06:55,1.415,below,intact,intact,broken,1.362,3.246,09:25,08:30,DXP,green,Long,True,10:45,1.819,1.885,0.831,2.808,intact,intact,broken
2024-01-03,Wednesday,No,DXP/DX,Short,True,intact,broken,intact,D,04:05,Short,True,red,04:25,0.736,below,intact,intact,intact,0.589,1.695,09:10,08:35,DXP,red,Short,True,10:35,1.447,1.421,0.751,2.142,intact,intact,intact
2024-01-02,Tuesday,No,DXP/DX,Short,True,intact,broken,intact,RC,04:00,Short,True,green,04:05,20.333,below,intact,intact,intact,15.205,20.949,08:30,09:20,DXP,red,Short,True,10:30,25.474,23.679,19.923,31.026,intact,intact,intact
2023-12-29,Friday,No,DXP/DX,Short,False,intact,intact,broken,UXP,05:15,Short,True,green,06:40,1.358,below,intact,intact,intact,0.864,1.481,08:30,08:35,DXP,green,Short,True,10:35,0.815,0.957,0.420,1.210,intact,broken,intact
2023-12-28,Thursday,No,UXP/UX,Long,True,intact,intact,intact,UXP,06:50,Short,False,red,07:30,-1.000,inside,broken,broken,intact,-1.892,1.405,09:05,08:30,DXP,red,Short,True,15:10,3.054,1.824,1.973,4.135,broken,broken,broken
2023-12-27,Wednesday,No,UXP/UX,Short,False,intact,broken,broken,RX,08:05,Long,True,green,08:10,0.244,above,intact,broken,broken,-0.384,0.442,09:25,08:45,RX,red,NO_CONF,NO_CONF,,-0.378,-0.308,0.872,-1.628,intact,broken,broken
2023-12-26,Tuesday,No,DXP/DX,Long,True,intact,intact,broken,UXP,04:05,Short,True,red,04:10,1.136,below,intact,broken,broken,0.591,2.273,08:40,09:20,UX,green,Long,True,10:35,-1.443,-0.841,-2.250,-0.636,broken,intact,intact
2023-12-22,Friday,No,UX,Short,True,intact,intact,broken,DXP,04:30,Long,True,red,05:00,2.873,above,intact,intact,broken,0.841,6.143,08:30,09:10,UXP,green,Short,True,11:00,6.230,6.230,7.349,5.111,intact,intact,broken
2023-12-21,Thursday,No,DXP/DX,Long,True,intact,intact,intact,UXP,04:20,Long,True,green,05:35,-0.509,inside,broken,broken,broken,-1.436,6.564,08:30,08:40,RX,red,Short,True,12:05,0.791,1.527,3.836,-2.255,intact,intact,intact
2023-12-20,Wednesday,No,UXP/UX,Long,False,broken,broken,intact,DXP,04:00,Short,True,red,07:25,0.217,below,intact,broken,broken,-0.056,0.329,08:30,09:25,U,green,Long,False,10:30,-1.000,-0.748,-1.860,-0.140,intact,broken,broken
2023-12-19,Tuesday,No,UXP/UX,Short,False,broken,intact,intact,UXP,06:20,Long,True,green,06:25,1.571,above,intact,intact,intact,0.196,1.821,09:25,08:30,UXP,green,Long,True,10:30,2.277,1.848,3.304,1.250,intact,intact,intact
2023-12-18,Monday,No,RC,Long,True,intact,broken,broken,RX,04:05,Long,True,green,06:50,0.056,inside,intact,intact,intact,-0.371,0.452,08:40,09:00,UXP,green,Long,True,11:30,1.085,0.863,1.976,0.194,intact,intact,intact
2023-12-15,Friday,No,DXP/DX,Long,True,intact,intact,intact,UXP,04:10,Long,True,red,07:55,0.242,above,broken,broken,broken,-2.790,1.194,08:40,09:20,UX,green,Long,False,10:50,1.823,1.484,4.097,-0.452,intact,intact,intact
2023-12-14,Thursday,No,UXP/UX,Long,True,broken,broken,broken,U,04:00,Short,True,red,05:40,0.564,below,intact,broken,intact,-0.436,1.527,08:30,09:05,DX,red,Short,True,10:35,0.850,0.632,-0.282,1.982,broken,broken,intact
2023-12-13,Wednesday,No,UXP/UX,Long,False,broken,broken,broken,RX,05:40,Short,True,green,07:10,-0.614,inside,broken,broken,broken,-2.286,-0.314,09:25,09:00,UX,green,Short,False,12:00,-1.736,-1.800,-2.714,-0.757,broken,broken,broken
2023-12-12,Tuesday,No,UXP/UX,Short,False,intact,intact,broken,UX,04:10,Short,False,red,08:25,-3.104,above,broken,broken,broken,-4.701,1.731,09:25,08:30,D,green,Long,True,10:55,1.537,1.545,-0.746,3.821,broken,broken,broken
2023-12-11,Monday,No,RC,Short,True,intact,broken,broken,D,04:05,Long,False,red,06:25,-0.262,inside,broken,intact,intact,-0.672,1.590,08:30,09:00,UXP,green,Long,True,10:45,4.508,3.344,6.426,2.590,broken,broken,intact
2023-12-08,Friday,No,UXP/UX,Short,True,intact,intact,broken,DXP,04:00,Long,False,green,08:10,-2.159,below,intact,broken,broken,-7.000,-0.580,08:30,08:30,RX,green,Long,True,14:45,1.725,1.239,5.855,-2.406,intact,broken,broken
2023-12-07,Thursday,No,DXP/DX,Short,True,intact,broken,broken,U,04:15,Short,False,green,08:25,-2.919,above,intact,intact,intact,-6.703,-1.541,08:30,09:25,UXP,green,Long,True,10:35,-7.264,-6.824,-9.608,-4.919,intact,intact,intact
2023-12-06,Wednesday,No,UXP/UX,Long,True,broken,broken,broken,U,04:35,Short,True,red,05:55,0.111,inside,broken,broken,intact,-2.861,0.120,08:30,09:25,DX,red,Short,True,11:40,1.106,0.111,-0.231,2.444,broken,broken,intact
2023-12-05,Tuesday,No,RC,Short,True,intact,intact,intact,DXP,04:05,Long,False,green,06:45,0.427,above,broken,broken,intact,-1.813,0.760,09:25,08:30,U,green,Long,True,10:45,2.920,3.040,6.533,-0.693,intact,broken,broken
2023-12-04,Monday,No,UXP/UX,Short,True,intact,broken,broken,RX,07:00,Short,True,green,08:15,0.045,inside,intact,intact,intact,0.020,2.010,09:20,08:30,DXP,red,Short,True,10:30,2.687,2.744,1.458,3.915,intact,intact,intact
2023-12-01,Friday,No,RC,Long,False,broken,broken,broken,UX,04:10,Long,False,green,07:50,-1.742,below,intact,intact,broken,-2.667,-1.484,09:15,08:30,DXP,red,Long,True,11:10,-3.124,-2.742,-1.903,-4.344,intact,broken,broken
2023-11-30,Thursday,No,DXP/DX,Short,False,intact,broken,broken,RX,07:25,Long,True,red,08:00,0.468,above,broken,broken,intact,-1.262,1.000,09:25,08:30,DX,red,Short,True,10:35,-2.730,-2.599,-0.849,-4.611,broken,broken,intact
2023-11-28,Tuesday,No,RC,Long,True,broken,intact,broken,DXP,04:00,Long,True,green,08:10,0.113,inside,intact,broken,intact,-0.263,0.938,09:20,09:00,U,green,Long,True,10:35,0.350,0.550,1.288,-0.588,intact,broken,broken
2023-11-27,Monday,No,DXP/DX,Short,True,broken,intact,broken,UX,04:55,Short,False,green,08:25,-2.388,above,broken,broken,intact,-2.478,0.239,09:10,08:30,U,green,Long,True,11:50,-2.127,-1.791,-3.806,-0.448,broken,broken,intact
2023-11-22,Wednesday,No,RC,Long,False,intact,broken,broken,RX,04:10,Long,True,green,04:35,3.806,above,intact,intact,intact,2.817,4.366,08:30,09:00,UXP,red,NO_CONF,NO_CONF,,4.522,4.806,7.387,1.656,intact,intact,intact
2023-11-21,Tuesday,No,UXP/UX,Long,False,intact,intact,intact,DXP,06:35,Short,True,green,07:30,2.776,below,intact,intact,intact,2.362,5.103,09:00,08:30,DXP,red,NO_CONF,NO_CONF,,7.388,7.095,4.638,10.138,intact,intact,intact
2023-11-20,Monday,No,RC,Short,True,intact,broken,intact,UX,04:00,Long,True,green,08:25,0.471,above,intact,intact,intact,0.157,2.300,08:30,09:00,UXP,green,Long,True,11:00,5.007,3.643,6.371,3.643,intact,intact,intact
2023-11-17,Friday,No,UXP/UX,Long,False,intact,broken,broken,RX,04:10,Long,True,green,06:40,0.253,above,broken,intact,broken,-2.189,0.274,09:25,08:30,DXP,green,Long,True,12:00,-2.326,-2.447,-1.621,-3.032,broken,intact,broken
2023-11-16,Thursday,No,DXP/DX,Short,True,broken,broken,broken,DX,04:15,Long,False,green,08:15,-2.352,below,broken,broken,broken,-2.278,1.407,08:30,08:55,RX,green,Short,True,11:20,0.269,0.093,1.852,-1.315,broken,broken,broken
2023-11-15,Wednesday,No,UXP/UX,Long,True,intact,intact,intact,UXP,05:50,Long,True,green,06:15,1.102,above,broken,broken,broken,-0.664,2.613,08:45,08:30,RX,red,Short,True,11:50,-0.555,-0.591,0.117,-1.226,intact,intact,broken
2023-11-14,Tuesday,No,UXP/UX,Long,True,intact,intact,intact,UXP,04:05,Long,False,green,06:05,-0.147,inside,broken,intact,intact,-2.307,13.040,08:30,08:50,UXP,green,Long,True,10:30,13.740,12.993,15.427,12.053,broken,intact,intact
2023-11-13,Monday,No,UXP/UX,Short,True,intact,intact,broken,DX,04:15,Long,True,green,04:25,1.825,above,broken,broken,broken,-1.070,2.246,08:55,08:30,DXP,red,Long,True,10:50,-3.026,-2.816,-1.421,-4.632,broken,intact,broken
2023-11-10,Friday,No,DXP/DX,Long,True,intact,intact,broken,UXP,04:10,Short,False,red,08:15,-1.543,above,intact,intact,intact,-3.574,-1.234,08:30,09:25,UXP,green,Long,True,11:00,-4.500,-4.303,-5.862,-3.138,intact,intact,intact
2023-11-09,Thursday,No,RC,Long,True,intact,intact,intact,UXP,05:40,Long,True,red,06:55,-0.107,inside,broken,broken,broken,-0.598,0.541,08:30,09:15,RX,red,Long,False,11:50,-0.049,-0.061,0.934,-1.033,intact,broken,broken
2023-11-08,Wednesday,No,UXP/UX,Short,True,intact,broken,broken,DX,06:20,Long,True,green,07:10,0.407,above,intact,broken,broken,-0.174,1.047,08:35,09:15,U,red,Short,True,11:55,0.605,0.517,2.012,-0.802,broken,broken,broken
2023-11-07,Tuesday,No,RC,Short,True,intact,broken,broken,RX,06:35,Short,False,green,08:05,-1.261,above,intact,intact,intact,-3.315,-1.198,08:30,09:15,UXP,green,Long,True,10:30,-3.405,-3.302,-5.252,-1.559,intact,intact,intact
2023-11-06,Monday,No,UXP/UX,Long,True,intact,intact,intact,UXP,05:05,Long,True,green,08:25,-0.388,inside,broken,broken,broken,-0.563,0.550,08:30,09:05,U,green,Short,True,13:05,0.563,0.788,2.050,-0.925,intact,intact,broken
2023-11-03,Friday,No,UX,Long,True,intact,broken,broken,UX,04:25,Short,False,red,07:55,-1.326,above,intact,intact,intact,-10.261,-1.304,08:30,08:45,UXP,green,Long,True,12:15,-11.783,-13.424,-15.370,-8.196,intact,intact,intact
2023-11-02,Thursday,No,UXP/UX,Long,True,broken,intact,intact,UXP,04:15,Long,True,green,04:35,4.256,above,intact,intact,intact,4.308,6.821,08:30,08:55,UXP,green,Long,True,10:50,4.750,4.641,6.397,3.103,intact,intact,intact
2023-11-01,Wednesday,No,UXP/UX,Short,False,broken,intact,broken,UXP,04:00,Short,True,red,04:10,1.047,below,broken,intact,intact,-3.400,1.024,08:30,09:20,UXP,green,Long,True,10:40,-5.782,-5.394,-7.941,-3.624,broken,intact,intact
2023-10-31,Tuesday,No,RC,Short,True,intact,intact,broken,DXP,04:00,Short,False,green,08:25,-10.333,above,intact,broken,broken,-10.556,-4.444,09:15,08:30,RX,red,Long,True,12:45,-1.306,-1.917,-5.056,2.444,intact,broken,broken
2023-10-30,Monday,No,RC,Long,True,intact,intact,intact,UXP,05:15,Long,True,green,08:25,-0.736,inside,broken,broken,broken,-1.713,-0.448,09:10,08:30,RX,red,Short,True,10:40,1.034,1.109,3.816,-1.747,intact,intact,broken
2023-10-27,Friday,No,RC,Long,True,intact,broken,broken,RC,04:15,Long,False,green,08:00,-0.464,inside,broken,broken,broken,-1.255,0.836,08:30,08:55,U,green,Short,False,10:40,0.277,0.682,1.255,-0.700,broken,broken,broken
2023-10-26,Thursday,No,DXP/DX,Short,True,intact,intact,broken,DXP,04:00,Long,True,red,07:35,0.989,above,intact,broken,broken,0.366,2.721,08:30,09:15,U,red,Short,True,11:20,0.945,1.270,2.634,-0.743,broken,broken,broken
2023-10-25,Wednesday,No,RC,Short,True,intact,intact,intact,DXP,04:25,Long,True,red,06:10,0.555,above,broken,broken,intact,-0.708,0.788,09:25,08:30,DXP,red,Short,True,11:50,-3.350,-2.445,-2.467,-4.234,intact,intact,intact
2023-10-24,Tuesday,No,UXP/UX,Short,False,intact,intact,broken,UXP,04:15,Short,True,red,07:25,-0.535,inside,broken,broken,broken,-0.674,0.458,09:20,08:30,RX,green,Long,False,10:35,-0.760,-0.576,-1.792,0.271,intact,intact,broken
2023-10-23,Monday,No,DXP/DX,Long,False,broken,broken,intact,DX,05:00,Short,True,red,08:25,0.480,below,intact,broken,broken,0.181,0.734,09:25,08:35,D,green,Long,True,10:40,0.556,0.577,-0.714,1.827,intact,intact,broken
2023-10-20,Friday,No,DXP/DX,Long,False,intact,broken,broken,DX,04:10,Long,True,green,08:25,-0.923,inside,broken,broken,intact,-0.932,1.188,08:30,09:25,RX,red,Short,True,10:35,-0.684,-0.500,1.094,-2.462,broken,broken,intact
2023-10-19,Thursday,No,DXP/DX,Long,False,intact,intact,broken,DXP,05:55,Long,True,red,07:35,0.400,above,intact,intact,broken,0.053,1.257,08:30,09:05,UX,red,Short,False,11:10,0.400,0.487,1.106,-0.306,broken,broken,broken
2023-10-18,Wednesday,No,UXP/UX,Long,True,broken,intact,broken,DX,04:45,Long,False,green,06:45,-1.133,below,intact,broken,intact,-2.267,-0.822,09:00,08:30,RX,green,Short,True,10:35,-0.748,-0.822,0.444,-1.941,intact,broken,intact
2023-10-17,Tuesday,No,RC,Short,True,intact,broken,broken,RX,04:35,Short,True,green,05:20,2.293,below,intact,intact,broken,2.390,6.939,09:25,08:30,DXP,green,Long,True,10:35,7.506,7.390,4.427,10.585,intact,intact,broken
2023-10-16,Monday,No,DXP/DX,Short,True,broken,broken,intact,D,04:00,Short,True,red,07:40,-0.391,inside,broken,intact,intact,-1.305,-0.348,08:30,09:15,UXP,green,Long,True,10:30,-2.285,-2.122,-3.215,-1.356,broken,intact,intact
2023-10-13,Friday,No,DXP/DX,Short,True,intact,broken,broken,D,04:25,Short,True,red,04:35,2.645,below,broken,broken,intact,-1.903,2.661,08:30,09:15,RX,red,Short,True,10:45,0.718,0.177,-1.790,3.226,broken,broken,intact
2023-10-11,Wednesday,No,UX,Long,True,broken,broken,broken,UX,04:20,Short,False,green,07:30,-1.656,above,broken,broken,broken,-2.280,0.333,08:30,09:00,UX,red,Short,True,11:40,-2.043,-2.237,-3.473,-0.613,broken,intact,broken
2023-10-10,Tuesday,No,UXP/UX,Long,True,broken,broken,broken,U,04:05,Short,False,green,04:30,0.423,below,intact,broken,intact,-0.153,0.829,08:45,09:15,RX,green,Long,True,10:30,-1.468,-1.288,-3.162,0.225,broken,broken,intact
2023-10-09,Monday,No,UXP/UX,Short,True,broken,broken,broken,DX,04:50,Long,True,red,07:45,0.295,inside,broken,broken,broken,-1.352,1.038,08:40,09:20,RX,green,Long,True,12:15,0.452,0.033,2.038,-1.133,broken,broken,broken
2023-10-06,Friday,No,RC,Long,False,broken,broken,intact,UX,06:05,Long,True,green,08:00,-0.183,inside,broken,intact,broken,-8.330,-0.083,08:50,08:30,DXP,green,Long,True,10:30,-3.803,-4.165,-1.706,-5.899,broken,intact,broken
2023-10-05,Thursday,No,UXP/UX,Long,True,broken,intact,broken,DX,04:00,Long,False,red,05:40,1.933,above,broken,broken,broken,-1.760,2.280,08:40,08:30,RX,red,Short,True,10:35,-2.633,-2.507,1.240,-6.507,broken,broken,broken
2023-10-04,Wednesday,No,DXP/DX,Short,True,intact,intact,broken,DXP,04:10,Long,True,green,04:20,2.982,above,intact,intact,intact,2.472,3.718,09:25,08:45,UXP,red,Long,True,11:15,3.316,3.344,4.417,2.215,intact,intact,intact
2023-10-03,Tuesday,No,UX,Short,True,intact,broken,broken,RC,04:00,Long,False,green,08:15,-3.865,below,intact,intact,intact,-5.750,-3.875,08:55,08:30,DXP,red,Short,True,10:35,-4.885,-4.769,-1.240,-8.529,intact,intact,intact
2023-10-02,Monday,No,DXP/DX,Long,False,broken,intact,broken,UX,04:55,Short,True,green,05:00,3.559,below,intact,broken,broken,3.110,4.709,09:05,08:40,DX,green,Long,True,11:15,0.945,1.748,-0.220,2.110,intact,broken,broken
2023-09-29,Friday,No,UXP/UX,Short,False,intact,intact,intact,UXP,04:20,Long,True,green,07:35,0.286,above,intact,intact,broken,0.052,1.578,08:30,08:40,UXP,red,Short,True,11:25,1.666,1.724,2.643,0.688,intact,intact,broken
2023-09-28,Thursday,No,RC,Long,False,broken,intact,intact,DXP,04:00,Short,True,red,06:10,0.179,inside,broken,broken,broken,-1.905,2.833,08:50,08:35,RX,green,Long,True,10:45,0.845,1.030,-1.607,3.298,broken,broken,broken
2023-09-27,Wednesday,No,RC,Short,False,intact,intact,intact,UXP,06:10,Short,True,green,07:30,0.369,inside,broken,broken,broken,-0.654,0.815,08:30,09:05,D,green,Short,True,10:50,0.308,0.131,-0.962,1.577,broken,broken,broken
2023-09-26,Tuesday,No,UXP/UX,Short,True,intact,intact,intact,DXP,04:00,Long,True,green,05:55,0.385,above,broken,broken,intact,-0.698,0.379,09:25,08:30,D,red,Short,True,13:35,-1.486,-1.459,-0.308,-2.665,intact,intact,intact
2023-09-25,Monday,No,DXP/DX,Long,True,intact,intact,broken,UXP,04:10,Short,True,green,04:15,3.265,below,intact,intact,broken,2.513,4.770,09:10,08:50,DXP,green,Long,True,11:15,2.774,2.743,1.451,4.097,intact,broken,broken
2023-09-22,Friday,No,DXP/DX,Long,True,intact,intact,intact,UXP,05:45,Long,True,red,07:10,2.000,above,intact,broken,broken,0.357,2.250,09:25,08:30,RX,green,Long,False,10:30,0.071,0.036,1.405,-1.262,intact,intact,broken
2023-09-21,Thursday,No,DXP/DX,Short,True,intact,intact,intact,DXP,04:50,Short,True,red,05:05,4.965,below,intact,intact,intact,4.541,6.788,08:30,09:25,DXP,red,Short,True,15:05,5.747,5.500,4.247,7.247,intact,intact,intact
2023-09-20,Wednesday,No,UXP/UX,Short,True,broken,broken,broken,RC,04:20,Long,True,green,04:30,1.629,above,intact,broken,broken,0.871,3.339,08:40,09:10,U,red,Short,True,11:00,0.911,0.879,2.581,-0.758,intact,broken,broken
