Date,Day,ADR_Model,ADR_Confirmation,ADR_True_False,ADR Mid Trans,ADR Mid Box,ADR Mid Session,ODR_Model,ODR_CONF_TIME,ODR_Confirmation,ODR_True_False,ODR Box Color,ODR MAX RET TIME,ODR Close Price,ODR Close Location,ODR Mid Trans,ODR Mid Box,ODR Mid Session,TRANS MAX RET,TRANS MAX EXT,TRANS LOW TIME,TRANS HIGH TIME,RDR_Model,RDR Box Color,RDR_Confirmation,RDR_True_False,RDR_CONF_TIME,RDR IDR MID,RDR DR MID,rdr_idr_highSD,rdr_idr_lowSD,ADR Mid RDR Trans,ADR Mid RDR Box,ADR Mid RDR Session
2024-01-19,Friday,UXP/UX,Short,True,broken,broken,broken,UX,4:30,Long,False,green,08:10,-1.929,Below,broken,broken,broken,-2.071,0.571,08:30,09:25,UX,red,Short,True,10:55,0.357,0.286,1.107,-0.393,broken,intact,broken
2024-01-18,Thursday,UXP/UX,Short,False,intact,broken,broken,UX,6:20,Long,False,red,08:15,-2.538,Below,broken,broken,broken,-3.885,0.654,08:35,09:20,D,red,Long,True,10:45,-0.942,-0.923,-0.231,-1.654,broken,broken,intact
2024-01-17,Wednesday,RC,Short,False,intact,intact,intact,DXP,4:25,Short,True,red,07:10,0.619,Below,intact,broken,intact,-0.167,1.429,09:10,09:25,RX,green,Long,True,10:30,-0.429,-0.357,-1.071,0.214,intact,intact,broken
2024-01-16,Tuesday,UXP/UX,Short,True,broken,broken,broken,RX,5:05,Long,True,green,06:50,0.359,Above,broken,broken,broken,-0.594,0.562,09:00,08:30,RX,red,Short,True,10:30,-0.687,-0.719,0.156,-1.531,broken,broken,broken
2024-01-15,Monday,DXP/DX,Long,True,intact,broken,intact,U,4:10,Short,True,red,04:25,1.868,Below,intact,intact,intact,0.579,2.289,08:45,09:20,DXP,green,Long,True,11:15,1.263,1.289,0.658,1.868,intact,intact,broken
2024-01-12,Friday,UXP/UX,Long,False,broken,intact,broken,UXP,4:10,Short,False,green,06:05,-1.500,Above,broken,broken,broken,-2.875,0.083,09:10,08:35,U,red,Short,True,10:30,-2.063,-2.167,-3.708,-0.417,intact,intact,broken
2024-01-11,Thursday,DXP/DX,Long,True,intact,broken,intact,U,4:00,Long,True,NEUTRAL,04:05,1.917,Above,intact,intact,intact,0.896,2.875,08:30,09:25,UXP,green,Long,False,10:30,2.469,2.354,2.937,2.000,intact,intact,intact
2024-01-10,Wednesday,UXP/UX,Long,True,broken,broken,broken,RX,4:05,Short,False,red,08:00,-2.419,Above,intact,intact,broken,-3.209,-1.581,09:15,08:45,UXP,green,Short,True,10:30,-2.756,-2.767,-3.279,-2.233,intact,intact,broken
2024-01-09,Tuesday,UXP/UX,Long,False,broken,intact,intact,UXP,4:15,Long,True,green,04:20,3.581,Above,intact,intact,intact,1.097,4.484,08:55,08:30,UX,red,Long,True,11:15,0.645,0.661,1.613,-0.323,intact,intact,intact
2024-01-08,Monday,RC,Short,True,intact,intact,intact,DXP,5:05,Short,True,green,05:10,5.517,Below,intact,intact,intact,5.034,7.724,09:10,08:45,DXP,red,Long,True,10:40,8.431,8.414,7.586,9.276,intact,intact,intact
2024-01-05,Friday,DXP/DX,Long,True,broken,broken,broken,U,4:00,Long,True,green,06:00,0.511,Above,intact,intact,intact,-0.089,2.356,08:35,09:05,UXP,red,NO_CONF,NO_CONF,,1.856,1.878,2.533,1.178,intact,intact,intact
2024-01-04,Thursday,UXP/UX,Long,True,intact,intact,broken,UXP,4:00,Long,False,green,08:00,-1.321,Inside,intact,intact,intact,-3.036,-0.571,09:25,08:45,DXP,red,Short,True,10:35,-3.429,-3.482,-2.179,-4.679,broken,broken,intact
2024-01-03,Wednesday,DXP/DX,Short,True,intact,intact,broken,DXP,4:10,Short,False,red,08:00,-4.154,Above,intact,intact,intact,-7.769,-2.731,09:00,09:25,UXP,green,Long,True,10:50,-8.519,-8.692,-10.615,-6.423,broken,intact,intact
2024-01-02,Tuesday,RX,Long,True,intact,intact,intact,UX,4:20,Long,True,green,04:45,0.839,Above,broken,intact,intact,-2.000,2.452,09:20,08:55,DXP,red,Short,True,11:10,-4.081,-3.419,-3.323,-4.839,broken,intact,intact
2023-12-29,Friday,DXP/DX,Short,False,broken,intact,broken,UX,4:05,Long,False,green,05:35,-1.250,Below,broken,broken,broken,-1.393,1.286,08:30,09:20,RX,red,Short,True,10:45,-0.054,-0.196,0.929,-1.036,broken,broken,broken
2023-12-28,Thursday,DXP/DX,Long,False,broken,broken,intact,D,4:05,Short,True,red,04:50,0.730,Below,intact,intact,intact,-0.270,1.016,08:45,09:00,DX,green,Short,True,11:40,0.151,0.183,-0.286,0.587,intact,intact,intact
2023-12-27,Wednesday,DXP/DX,Long,True,intact,intact,broken,UXP,4:00,Long,False,green,08:10,-3.900,Below,intact,intact,intact,-3.950,-0.650,08:30,09:00,DXP,green,Short,True,11:25,-2.675,-2.850,-1.850,-3.500,broken,intact,intact
2023-12-26,Tuesday,DXP/DX,Long,True,broken,broken,broken,RX,7:25,Long,True,red,07:45,1.557,Above,intact,intact,intact,1.471,2.671,08:30,09:20,UXP,red,Long,False,11:20,2.336,2.321,2.514,2.157,intact,intact,intact
2023-12-22,Friday,UXP/UX,Long,True,intact,intact,intact,UXP,4:05,Long,False,green,07:20,-1.409,Below,broken,broken,intact,-1.909,0.545,08:30,08:50,U,red,Short,True,10:35,-0.114,-0.068,0.682,-0.909,intact,intact,broken
2023-12-21,Thursday,DXP/DX,Long,True,intact,intact,broken,UXP,5:35,Short,True,green,05:45,4.767,Below,intact,intact,intact,3.067,6.033,08:30,09:00,DXP,green,Long,True,11:10,2.400,2.583,1.400,3.400,intact,broken,broken
2023-12-20,Wednesday,UXP/UX,Long,False,broken,intact,intact,UXP,5:00,Long,True,green,08:10,0.225,Above,intact,intact,broken,0.050,1.150,08:30,09:25,UXP,red,Short,True,10:30,0.688,0.763,1.225,0.150,intact,intact,broken
2023-12-19,Tuesday,DXP/DX,Short,True,intact,intact,broken,DXP,5:35,Long,True,red,07:55,0.183,Above,intact,intact,intact,-0.133,1.050,08:35,09:25,UXP,green,Long,True,10:45,1.233,1.175,1.600,0.867,broken,intact,intact
2023-12-18,Monday,UXP/UX,Short,False,broken,broken,broken,RC,4:05,Short,False,green,08:25,-5.455,Above,intact,intact,intact,-7.864,-5.182,08:30,09:25,UXP,equal,Short,True,10:45,-9.386,-9.227,-11.000,-7.773,intact,intact,intact
2023-12-15,Friday,DXP/DX,Long,True,broken,broken,broken,RX,4:05,Long,True,green,05:00,0.409,Above,broken,broken,broken,-1.182,0.523,08:40,08:30,DXP,red,Long,True,12:15,-2.477,-2.125,-1.273,-3.682,broken,broken,broken
2023-12-14,Thursday,UXP/UX,Short,True,intact,broken,intact,U,4:30,Long,True,green,04:35,1.591,Above,intact,intact,intact,1.455,3.114,08:30,09:10,UXP,green,Long,False,12:05,3.466,3.318,3.864,3.068,intact,intact,intact
2023-12-13,Wednesday,DXP/DX,Long,False,intact,intact,broken,DXP,4:15,Long,True,green,04:20,3.448,Above,intact,intact,intact,2.034,4.448,09:25,08:50,UXP,green,Long,True,10:45,3.276,3.103,3.828,2.724,intact,intact,intact
2023-12-12,Tuesday,UXP/UX,Long,True,intact,broken,broken,UX,4:20,Long,False,red,08:15,-3.909,Below,intact,intact,intact,-11.182,-3.409,09:20,08:30,DXP,red,Short,True,11:15,-10.795,-10.932,-9.409,-12.182,intact,intact,intact
2023-12-11,Monday,UXP/UX,Long,True,intact,broken,broken,U,4:10,Short,True,red,08:05,0.289,Below,intact,intact,broken,-0.022,1.178,09:00,08:45,DXP,red,Short,False,11:15,0.567,0.478,0.178,0.956,intact,broken,broken
2023-12-08,Friday,DXP/DX,Long,True,intact,intact,intact,UXP,4:00,Long,False,green,05:25,-0.087,Inside,broken,broken,broken,-1.152,0.304,09:15,08:40,U,green,NO_CONF,NO_CONF,,0.163,0.185,1.065,-0.739,intact,intact,intact
2023-12-07,Thursday,DXP/DX,Long,True,broken,broken,broken,UX,4:00,Long,False,green,07:00,0.577,Above,intact,broken,broken,0.154,1.885,08:55,08:45,UX,red,Short,True,10:45,0.308,0.365,1.077,-0.462,intact,intact,broken
2023-12-06,Wednesday,DXP/DX,Long,True,intact,broken,broken,RX,4:30,Short,True,red,04:35,1.077,Below,intact,intact,intact,0.923,4.128,09:25,08:30,DXP,green,Short,True,10:40,3.769,3.744,3.077,4.462,intact,intact,intact
2023-12-05,Tuesday,RC,Short,True,broken,intact,broken,UXP,6:20,Short,True,green,06:25,1.857,Below,broken,broken,broken,-0.607,1.911,08:30,09:10,RC,green,Short,True,10:50,-0.625,-0.580,-0.929,-0.321,broken,intact,broken
2023-12-04,Monday,DXP/DX,Short,True,intact,intact,intact,DXP,4:00,Short,False,red,08:25,-2.444,Above,broken,broken,broken,-2.500,0.139,09:00,08:30,RX,green,Long,True,10:35,-1.111,-1.139,-3.389,1.167,intact,intact,broken
2023-12-01,Friday,DXP/DX,Short,False,broken,broken,broken,RX,,NO_CONF,NO_CONF,red,,,Inside,broken,broken,broken,,,09:25,09:00,UX,equal,Short,True,11:10,,,,,broken,broken,broken
2023-11-30,Thursday,UXP/UX,Short,False,intact,intact,intact,UXP,5:30,Long,True,red,06:45,-0.462,Inside,broken,intact,broken,-0.538,0.769,08:30,08:40,UX,red,Short,True,10:30,0.515,0.423,1.108,-0.077,intact,intact,broken
2023-11-29,Wednesday,UXP/UX,Short,True,intact,broken,broken,D,4:40,Long,True,green,05:10,1.532,Above,intact,broken,broken,0.596,1.638,09:05,08:40,RX,red,Long,True,12:00,-0.691,-0.691,0.957,-2.340,intact,broken,broken
2023-11-28,Tuesday,RC,Long,False,intact,broken,broken,U,4:30,Long,False,green,08:25,-1.082,Inside,broken,broken,intact,-1.510,0.510,08:45,09:10,UX,green,Long,True,10:30,0.184,0.122,0.816,-0.449,broken,intact,intact
2023-11-27,Monday,DXP/DX,Short,True,intact,intact,intact,DXP,4:00,Long,False,green,05:50,0.024,Inside,broken,broken,broken,-0.927,0.780,08:55,09:05,UX,green,Long,False,10:35,0.573,0.598,1.610,-0.463,intact,broken,broken
2023-11-24,Friday,UXP/UX,Long,False,broken,broken,broken,RC,4:35,Long,False,green,08:25,-1.174,Below,intact,broken,broken,-2.783,-1.043,08:40,08:30,RX,green,Long,False,10:55,-0.413,-0.435,1.261,-2.087,intact,broken,broken
2023-11-23,Thursday,UXP/UX,NO_CONF,NO_CONF,broken,intact,broken,UX,4:10,Short,True,red,05:40,0.417,Below,intact,intact,broken,0.389,3.028,09:20,08:30,DXP,green,Long,True,10:30,2.125,2.125,1.639,2.611,intact,intact,broken
2023-11-22,Wednesday,UXP/UX,Short,True,broken,broken,intact,D,4:10,Short,True,red,04:35,11.370,Below,intact,intact,intact,9.741,13.148,09:25,08:30,DXP,red,Long,True,11:10,12.500,12.426,11.111,13.889,intact,intact,intact
2023-11-21,Tuesday,RC,Short,True,intact,intact,broken,DXP,4:10,Short,False,red,05:35,-0.447,Inside,broken,broken,broken,-1.474,0.500,08:45,09:20,RX,green,Long,True,10:40,-0.461,-0.382,-1.026,0.105,broken,intact,broken
2023-11-20,Monday,UXP/UX,Long,True,intact,intact,intact,UXP,5:20,Long,True,red,05:45,3.500,Above,intact,intact,intact,2.500,4.250,09:20,09:00,UXP,green,Long,True,11:20,3.359,3.297,4.469,2.250,intact,intact,intact
2023-11-17,Friday,DXP/DX,NO_CONF,NO_CONF,broken,broken,intact,U,4:05,Long,True,green,04:20,1.054,Above,intact,intact,intact,0.036,1.500,09:00,09:20,UXP,green,Long,True,10:35,1.893,1.795,2.411,1.375,intact,intact,intact
2023-11-16,Thursday,DXP/DX,Short,True,broken,broken,broken,DX,4:20,Long,True,green,07:20,0.240,Inside,broken,intact,intact,-3.400,0.480,09:25,08:30,DXP,red,Short,True,11:15,-4.450,-4.350,-3.460,-5.440,broken,intact,intact
2023-11-15,Wednesday,DXP/DX,Long,True,intact,broken,broken,U,4:05,Short,True,red,08:00,0.923,Below,intact,intact,intact,0.654,4.192,09:20,08:30,DXP,green,Long,False,10:40,3.077,3.154,2.577,3.577,intact,intact,intact
2023-11-14,Tuesday,UXP/UX,Short,True,intact,broken,intact,DX,4:30,Short,True,green,05:55,1.200,Below,broken,intact,broken,-3.333,1.567,08:30,09:05,UXP,green,Long,False,10:35,-3.350,-3.217,-4.267,-2.433,broken,intact,broken
2023-11-13,Monday,D,Short,True,intact,broken,intact,D,4:00,Long,True,green,04:45,0.860,Above,intact,intact,intact,0.316,1.404,08:40,09:05,UXP,green,Long,True,11:15,1.544,1.421,2.035,1.053,intact,intact,intact
2023-11-10,Friday,DXP/DX,Long,True,intact,intact,intact,UXP,4:40,Long,True,green,05:15,0.659,Above,intact,intact,intact,0.341,1.415,08:30,08:55,UXP,green,Long,True,11:05,1.159,1.195,1.561,0.756,intact,intact,intact
2023-11-09,Thursday,DXP/DX,Long,False,intact,broken,broken,UX,7:05,Short,False,green,08:20,-1.485,Above,intact,intact,broken,-2.364,-0.879,09:00,09:10,UXP,green,Long,False,10:30,-2.258,-2.182,-3.394,-1.121,intact,intact,broken
2023-11-08,Wednesday,DXP/DX,Long,True,intact,intact,broken,UX,5:00,Short,True,green,05:05,2.031,Below,intact,intact,intact,0.188,2.281,08:30,09:15,DX,red,Short,True,10:30,1.109,1.141,-0.219,2.438,broken,broken,intact
2023-11-07,Tuesday,DXP/DX,Short,True,intact,intact,intact,DXP,4:05,Short,True,red,07:45,0.341,Below,broken,intact,intact,-0.756,1.317,09:25,08:45,DXP,red,Short,True,11:35,1.573,1.622,1.049,2.098,intact,intact,intact
2023-11-06,Monday,DXP/DX,NO_CONF,NO_CONF,intact,intact,intact,UXP,4:10,Long,True,green,08:25,-0.943,Inside,broken,broken,broken,-1.657,1.000,08:30,09:05,UX,green,Short,True,10:55,0.486,0.429,1.114,-0.143,intact,intact,broken
2023-11-03,Friday,UXP/UX,Short,False,intact,intact,broken,UX,4:10,Long,False,green,06:00,0.464,Above,broken,intact,intact,-5.500,2.286,09:25,08:35,DXP,red,Short,True,10:30,-3.679,-3.446,-1.929,-5.429,broken,broken,intact
2023-11-02,Thursday,DXP/DX,Long,True,intact,intact,broken,UXP,4:15,Long,False,green,08:10,-1.125,Inside,broken,broken,broken,-3.813,-0.500,09:10,08:45,RX,green,Long,True,11:55,-0.016,-0.141,1.281,-1.313,broken,broken,broken
2023-11-01,Wednesday,DXP/DX,Short,False,broken,broken,broken,UX,4:25,Short,False,green,08:10,-6.304,Above,intact,intact,broken,-9.000,-5.739,09:00,09:10,UXP,red,Short,True,11:15,-6.522,-6.435,-7.130,-5.913,intact,intact,broken
2023-10-31,Tuesday,DXP/DX,Short,True,broken,broken,broken,D,4:15,Long,True,red,08:15,-0.441,Inside,broken,broken,broken,-1.029,0.882,09:25,09:00,RX,green,Short,True,13:00,-0.574,-0.662,1.088,-2.235,broken,broken,broken
2023-10-30,Monday,UXP/UX,Long,False,intact,intact,broken,DX,5:15,Short,False,red,06:05,-0.190,Inside,broken,broken,intact,-0.793,0.448,09:10,09:15,DX,red,Short,True,10:30,0.397,0.379,-0.397,1.190,intact,intact,intact
2023-10-27,Friday,RC,Long,True,intact,intact,intact,UXP,4:15,Long,True,red,07:55,0.571,Above,broken,broken,broken,-2.114,0.943,08:50,08:35,DXP,red,Long,True,12:55,-2.643,-2.300,-1.714,-3.571,intact,broken,broken
2023-10-26,Thursday,UXP/UX,Long,False,intact,broken,intact,D,5:15,Short,True,green,05:40,2.605,Below,intact,intact,intact,1.355,2.763,08:30,09:05,DXP,green,Long,True,10:35,1.474,1.605,0.987,1.961,intact,intact,intact
2023-10-25,Wednesday,DXP/DX,Short,True,intact,intact,broken,DXP,4:25,Long,True,green,06:30,2.348,Above,intact,broken,broken,0.522,2.696,09:00,08:30,RX,red,Short,False,10:30,0.130,0.087,1.478,-1.217,broken,broken,broken
2023-10-24,Tuesday,DXP/DX,Short,True,intact,broken,broken,D,4:10,Short,True,green,05:50,1.500,Below,intact,intact,intact,0.625,3.125,09:25,08:55,DXP,red,Short,True,10:40,3.172,3.328,2.656,3.687,intact,intact,intact
2023-10-23,Monday,DXP/DX,Short,True,intact,intact,broken,DX,4:00,Long,True,green,07:00,0.750,Above,broken,broken,broken,-1.232,0.768,09:10,08:30,D,red,Short,True,11:30,-0.723,-0.768,-0.196,-1.250,broken,intact,intact
2023-10-20,Friday,UXP/UX,Short,False,broken,broken,broken,RX,4:20,Long,True,red,08:25,-0.400,Inside,broken,broken,broken,-0.800,0.625,09:15,09:00,RX,red,Short,True,12:55,-0.450,-0.350,0.550,-1.450,broken,broken,broken
2023-10-19,Thursday,U,Short,True,broken,broken,intact,D,4:10,Short,True,red,08:05,-0.561,Inside,broken,broken,broken,-0.671,-0.085,09:10,08:30,D,green,Long,True,10:55,-0.317,-0.268,-0.707,0.073,intact,intact,broken
2023-10-18,Wednesday,UXP/UX,Long,True,broken,broken,broken,RC,4:15,Long,True,green,08:25,-1.240,Inside,broken,broken,broken,-3.560,-0.120,09:10,08:50,RX,red,Long,True,12:50,-0.940,-1.060,0.080,-1.960,broken,broken,broken
2023-10-17,Tuesday,RC,Short,True,broken,broken,broken,RX,4:35,Short,True,green,07:35,-0.600,Inside,broken,broken,broken,-0.780,0.320,09:20,09:00,U,green,Short,True,11:20,-0.980,-0.830,-1.580,-0.380,broken,broken,broken
2023-10-16,Monday,UXP/UX,Short,False,broken,broken,broken,U,4:15,Short,False,green,08:20,-2.317,Above,broken,broken,intact,-2.366,0.415,09:25,08:30,DX,red,NO_CONF,NO_CONF,,0.902,0.915,-0.293,2.098,broken,broken,broken
2023-10-13,Friday,DXP/DX,Short,False,intact,intact,intact,UXP,4:00,Long,True,green,04:15,2.438,Above,intact,intact,intact,1.493,2.795,09:20,08:45,UXP,green,Long,True,10:30,1.349,1.322,1.836,0.863,intact,intact,intact
2023-10-12,Thursday,DXP/DX,Long,False,broken,intact,intact,UXP,4:05,Long,True,green,04:25,1.455,Above,intact,intact,broken,1.061,1.924,09:00,09:10,UXP,red,Short,True,11:15,1.129,1.197,1.576,0.682,intact,intact,broken
2023-10-11,Wednesday,RC,Long,True,intact,intact,broken,UXP,4:00,Short,True,red,04:10,2.514,Below,intact,intact,intact,1.270,3.865,09:25,09:15,DXP,red,Short,True,10:30,3.878,4.149,2.730,5.027,intact,intact,intact
2023-10-10,Tuesday,RC,Short,True,intact,intact,broken,DXP,4:10,Long,True,green,07:45,0.049,Above,intact,broken,broken,-0.383,0.309,08:45,09:25,RC,red,Short,True,10:30,-0.506,-0.364,-0.086,-0.926,broken,broken,intact
2023-10-09,Monday,UXP/UX,Long,True,broken,broken,broken,DX,4:00,Short,False,red,08:05,-1.479,Above,intact,broken,intact,-1.630,-0.603,09:15,08:30,U,green,NO_CONF,NO_CONF,,-1.212,-1.219,-1.959,-0.466,broken,broken,broken
2023-10-06,Friday,DXP/DX,Long,False,intact,broken,broken,RX,8:00,Short,True,green,08:25,-0.022,Inside,broken,broken,broken,-0.978,0.707,08:35,09:25,D,red,Long,True,11:50,-0.060,-0.120,-0.533,0.413,broken,broken,broken
2023-10-05,Thursday,DXP/DX,Long,True,intact,broken,broken,RX,4:45,Short,True,red,08:15,0.090,Below,intact,broken,broken,0.013,1.667,09:25,08:30,D,green,Short,True,11:30,0.256,0.500,-0.603,1.115,intact,broken,broken
2023-10-04,Wednesday,UXP/UX,Long,False,intact,intact,intact,DXP,5:20,Short,True,red,05:35,2.767,Below,intact,intact,intact,1.163,3.186,08:30,09:05,DXP,red,Short,True,10:45,3.895,3.651,3.372,4.419,intact,intact,intact
2023-10-03,Tuesday,DXP/DX,Short,True,broken,broken,broken,RX,4:05,Long,True,red,07:05,0.026,Inside,broken,intact,intact,-1.447,2.237,09:05,09:25,UXP,red,Long,True,11:20,1.408,1.355,2.158,0.658,broken,intact,intact
2023-10-02,Monday,RC,Short,True,broken,broken,broken,RX,5:40,Long,True,red,08:05,0.097,Inside,broken,broken,intact,-0.952,0.242,09:00,08:30,DX,red,Short,True,10:45,-1.855,-1.798,-0.532,-3.177,broken,broken,intact
